content,name
到了2008年，《鬼吹灯》作品两部8本在起点中文网连载完成，出版了各种版本的图书，按照转让合同约定，玄霆公司分4次，共支付226万元给了天下霸唱作为版权转让的费用。,鬼吹灯之牧野诡事
2008年完成《鬼吹灯》系列作品后，天下霸唱同玄霆公司没有新的合作。拥有《鬼吹灯》系列作品版权的玄霆公司进行着相关运营，并把《鬼吹灯》分为上下两部分别卖出了版权，由电影制作方拍摄成了《九层妖塔》和《寻龙诀》。2015年12月，电影《寻龙诀》上映期间，天下霸唱的新小说《摸金校尉》也出版发行了。不过这次书籍的出版方不是玄霆公司，而是另一家出版公司。这本书的出版却激化了双方的矛盾。,鬼吹灯之牧野诡事
所有版本中周建龙的是最合适的，就跟周星驰御用配音一样，别的人没那种感觉,鬼吹灯之牧野诡事
我也觉得周建龙的最好听,鬼吹灯之牧野诡事
周建龙不错有感觉生动,鬼吹灯之牧野诡事
前4部，和笔记都是听的周，非常不错,鬼吹灯之牧野诡事
就是老痒结巴那里听得蛋疼,鬼吹灯之牧野诡事
企鹅FM周建龙配了全集,鬼吹灯之牧野诡事
图文分析，原著回顾，人物关系，,鬼吹灯之牧野诡事
，形象分析，统统看这里…………,鬼吹灯之牧野诡事
长期不定，谢谢支持,鬼吹灯之牧野诡事
版本（其实我也觉得,鬼吹灯之牧野诡事
很符合不过东哥太帅原谅我就这一次！！！）,鬼吹灯之牧野诡事
赵又廷版（事先声明一下，本人原著党，本不想提这个，勉强贴出来，拒绝撕）,鬼吹灯之牧野诡事
阮经天版（拒绝撕）,鬼吹灯之牧野诡事
漫画形象（最后两位让我觉得漫画版更好！！！）,鬼吹灯之牧野诡事
漫画版太少年气了，胡八一王胖子他们盗墓的时候都到中年了,鬼吹灯之牧野诡事
看到楼主分享的各种版本真是太棒了,鬼吹灯之牧野诡事
来几张，二三两张很喜欢的很帅的，其实最后一张符合最我对胡八一的最初设想,鬼吹灯之牧野诡事
第四张来自枪游逆战，其余均为网友制作的，感谢原作者，来自度娘图片,鬼吹灯之牧野诡事
咳咳，给腐女留一层,鬼吹灯之牧野诡事
~胡八一·完~（我大但的结尾赞不赞？）,鬼吹灯之牧野诡事
黄渤版（不得不说黄渤老师的王副司令是迄今为止最贴合原著的，把胖子除了胖以外大多的特点都表现的淋漓尽致，向影帝致敬！！！）,鬼吹灯之牧野诡事
赵达版（还是感受到用心了，不过硬件不那么完美，听不错了）,鬼吹灯之牧野诡事
还有两个我不说发图露个脸吧,鬼吹灯之牧野诡事
逆战的胡八一雷了点，不过王胖子没的说,鬼吹灯之牧野诡事
不是我说，非官方，影视的胖子个个精品,鬼吹灯之牧野诡事
我真的不知道这张图立意何在,鬼吹灯之牧野诡事
~王凯旋·完~（最后一张身高不太对,鬼吹灯之牧野诡事
今晚杨参金牙小丁哨子不见不散！,鬼吹灯之牧野诡事
我一定发胡杨！！,鬼吹灯之牧野诡事
我觉得鬼吹灯关于风水的解释是最让我满意的解释,鬼吹灯之牧野诡事
那些皇帝选的陵墓地理位置都非常好，但是随着,鬼吹灯之牧野诡事
重庆，3月29日，鬼吹灯，摸金玦,鬼吹灯之牧野诡事
对，票便宜，闲鱼买的。,鬼吹灯之牧野诡事
跟龙岭迷窟是同一批 导演演员,鬼吹灯之牧野诡事
那么多部怎么就选了云南虫谷了！,鬼吹灯之牧野诡事
王凯旋又来个吸毒犯一样的瘦呲！主演没一个认识的，导演先暴毙一次助助兴吧,鬼吹灯之牧野诡事
。。。。。。我就问一句，胖子找个胖子演有这么难嘛？啊？很难吗？,鬼吹灯之牧野诡事
唉 我最喜欢的云南虫谷啊 心痛,鬼吹灯之牧野诡事
我有种感觉，这一部重点将会是胖子与彩虹姑娘的恩怨情仇，又一部爱情剧,鬼吹灯之牧野诡事
一方水土养育一方人。,鬼吹灯之牧野诡事
大蛇拍成“巨蟒之灾”的画质，大虫子拍成“金刚”特效，一群群裸尸嘛...我只希望不要打码,鬼吹灯之牧野诡事
楼主发表一下自己的看法。,鬼吹灯之牧野诡事
首先，我要说明鬼吹灯与盗墓笔记的历史,鬼吹灯之牧野诡事
本贴为个人观点，不喜误噴。,鬼吹灯之牧野诡事
