content,keyword,time
广告植入real low，各种神剪接，无限穿帮……但为什么还是给三星？因为袁姗姗把自己演进去了，励志正能量。现在的偶像剧，感觉剧本再不济，大家都用心了许多，是进步喔。,云巅之上2,2017-02-24
第一季 还行，第二季没看完，弃剧！,云巅之上2,2017-04-18
我居然一口气看到了第十集，你别说不带脑子看还有点意思😂不过剧情真的太狗血太傻白甜了。我要是去北京租地下室住，我能租到大明星的楼下吗？答案是不能！！我要是晚上出去睡公园，我能刚好遇到大明星吗？答案是不能！！我要是送牛奶我能送到一个著名的影视公司吗？答案是不能！！你说狗血不？扯淡！,云巅之上2,2017-03-03
我对袁姗姗陈晓路转粉了~,云巅之上2,2017-03-12
剧情狗血，果断弃剧,云巅之上2,2017-03-02
齁甜，袁姗姗戏中戏都演的不错,云巅之上2,2017-05-15
女主也太傻白甜了,云巅之上2,2017-03-02
感觉袁姗姗在这部剧里面使出了自己的洪荒之力，把最好的一面和演技都展现给了我们观众，作为他的粉丝看这部剧的到处都是泪点，但是很喜欢简兮的性格，即便有人觉得有点太过，但是，真心向往这份执着。,云巅之上2,2017-03-07
我的妈，cx真是太好看了吧啊啊啊(死去,云巅之上2,2017-04-10
"033苦情戏女主啊~~~~演反派很有张力哦~
陈晓实在是太美了~看完1天后我还是想了他24个小时~",云巅之上2,2017-04-17
陈晓是谁，一个用超过颜值的演技来诠释什么叫剧烂角色线好的人，即便其他一切的一切烂成狗，也埋没不了你。如果日后我真的变成一个晓吹，那唐斐绝对就是二次圈粉的存在。,云巅之上2,2017-12-13
《云巅之上》第二季其实让我明白了：任何站在云端的人，都是狠角色，他们要么对别人狠，要么对自己狠。,云巅之上2,2017-04-03
垃圾,云巅之上2,2017-03-03
袁姗姗治好了我多年的近视，她终于把我气瞎了,云巅之上2,2017-04-25
抄袭（借鉴？？？）痕迹明显，太多场面有可循之处，但，有毒，一口气看完一季24集，绝了。陈晓很迷人，袁姗姗戏中戏能看出演技，竟很出彩，看到孙俪老师的影子，然而简兮这个角色本身的塑造却一言难尽，不懂了就。等第二季啊喂！  4.3.第二季追完，强行大结局啊这是。陈晓，苏神！,云巅之上2,2017-02-24
题材上值得关注，表现娱乐圈的假和浮夸，导演用尬戏和尬导的方式，也算另类的融合，不过缺剧情和人设缺乏逻辑，女主是一朵没脑子的白莲花，周围都是坏阿姨和坏蜀黍，看着挺无语的。作为消遣窥探娱乐圈的作品倒是可以瞧瞧，男主张翰来演倒是可以，里面女主的戏中戏对O33挺考验的——她也被考倒了,云巅之上2,2017-04-16
