content,playCount,name
说句实话，实在是看不下去了。无论是，处理情节方面还是，其他方面都实在是无语的慌。第一，那个博士在死后，为什么还是手拄着自己的头，不应该是全身，无力而倒下吗？第二，整个片子都是再说别人在人工智能。但是，给我的感觉是这个人工智能好无聊。 整个情节方面都是在拼凑，还想叫以前看过的科幻电影拼一块，这个电影并没有任何的创新，显得太过于老掉。,25130000,时空送货人
我不评论特效，毕竟国产科幻片起步嘛，咱就说说剧情，尼玛博士知道球在哪，为啥不瞬移过去直接送货就行了，搞那么多就是为了扯蛋，出来后边剧情？还有，这俩ASI为什么要找坐标，神经病啊，送货人一直念叨没时间，为啥没时间了，不就是因为到时间球自己开启吗，俩神经病啊，你俩要坐标有毛用啊，拦着不让他们找到不就行了？算了，提醒大家不要看了，浪费时间,25130000,时空送货人
这部电影通篇充斥着浓浓的圈钱风，故事内容侮辱观众智商，特效画面神似廉价片，演员表演浮夸随意，画风无限贴近日式恶俗电影，台词无聊无趣无内涵，除了偶尔出现的道具可看之外，无一是处。如果不怕尴尬，心胸够大的话，倒是可以作为打炮背景音播放一下。,25130000,时空送货人
40分钟，抄黑客帝国抄得太明显。。。整体还是有点小制作草台班子的感觉。,25130000,时空送货人
，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视，不忍直视,25130000,时空送货人
只看了开头，我感觉我好像吃了一颗苍蝇屎，恶心死我了。,25130000,时空送货人
看不懂的点渣，！谁能告诉我，这演的是什么东西？讲述的是什么？表达的是什么意思？？垃圾，垃圾，垃圾，渣！渣渣渣渣渣渣渣渣，，，，，,25130000,时空送货人
我……………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………擦。动画的剧情，古装剧的效果，还能说是科幻大片哈哈无语无语太刺激啦！我感觉好像看了一部日韩爱情动作恐怖科幻大片,25130000,时空送货人
任何一部电影都是呕心沥血花了多长时间多少的心思制作而成的，也有很多跟这一样或更差的拉吉电影，都是侮辱了我们的智商和思想，所以说制片人智商有问题，我们这些观众不能评论这电影烂或辣鸡，所以我们应该说 这是辣鸡拍出来的辣鸡! 这部电影不辣鸡才有鬼嘞。王尼玛大喊一声：荆轲刺秦王,25130000,时空送货人
怎么感觉垃圾片还老是要会员。去她妈的，老子充个会员就看这垃圾片。不要再把这样的垃圾片纳入会员系列好不？降低会员档次。,25130000,时空送货人
现在我也只能认为 以前的一些电影可以 唐山大地震 叶问 现在吧我觉得战狼不错,25130000,时空送货人
垃圾垃圾垃圾中的战斗机，果断看不下去了。机器人制作太假，林正英大呼：还我僵尸！女演员一看都是被潜上位的，演技烂到没有观众，特效五毛是给高分了，剧情不说大家都知实在道这是抄袭的。而且严重的侮辱了原作，不是不支持国产，实在没有一个让人能够支持的立足点，有钱拍这烂片，还不如支援贫困地区呢！,25130000,时空送货人
垃圾中的战斗机，果断看不下去了。机器人制作太假，林正英大呼：还我僵尸！女演员一看都是被潜上位的，演技烂到没有观众，特效五毛是给高分了，剧情不说大家都知实在道这是抄袭的。而且严重的侮辱了原作，不是不支持国产，实在没有一个让人能够支持的立足点，有钱拍这烂片，还不如支援贫困地区呢！,25130000,时空送货人
特别垃圾国产电影，看的开头看不下去了，为什么机器人肚子会长毛的，还有一个就是钢铁侠被子弹打中都有刮痕，子弹打机器人身上什么都没有。演员演技浮夸，为什么反派要日本 英文 中文一起混起来讲话，这不会显得很高端，只会让他特别lou，反派口音贼垃圾。本来以为什么大片，后来国产的圈钱电影看不下去,25130000,时空送货人
